Country,DateRep,Cases,Deaths,countryterritoryCode,popData,Continent
Afghanistan,2020-11-26T00:00:00Z,200,12,AFG,38041757,Asia
Afghanistan,2020-11-25T00:00:00Z,185,13,AFG,38041757,Asia
Afghanistan,2020-11-24T00:00:00Z,246,17,AFG,38041757,Asia
Afghanistan,2020-11-23T00:00:00Z,252,8,AFG,38041757,Asia
Afghanistan,2020-11-22T00:00:00Z,154,12,AFG,38041757,Asia
Afghanistan,2020-11-21T00:00:00Z,232,25,AFG,38041757,Asia
Afghanistan,2020-11-20T00:00:00Z,282,5,AFG,38041757,Asia
Afghanistan,2020-11-19T00:00:00Z,0,0,AFG,38041757,Asia
Afghanistan,2020-11-18T00:00:00Z,383,13,AFG,38041757,Asia
Afghanistan,2020-11-17T00:00:00Z,65,6,AFG,38041757,Asia
Afghanistan,2020-11-16T00:00:00Z,163,9,AFG,38041757,Asia
Afghanistan,2020-11-15T00:00:00Z,205,12,AFG,38041757,Asia
Afghanistan,2020-11-14T00:00:00Z,66,10,AFG,38041757,Asia
Afghanistan,2020-11-13T00:00:00Z,360,14,AFG,38041757,Asia
Afghanistan,2020-11-12T00:00:00Z,146,4,AFG,38041757,Asia
Afghanistan,2020-11-11T00:00:00Z,0,0,AFG,38041757,Asia
Afghanistan,2020-11-10T00:00:00Z,224,12,AFG,38041757,Asia
Afghanistan,2020-11-09T00:00:00Z,80,3,AFG,38041757,Asia
Afghanistan,2020-11-08T00:00:00Z,126,6,AFG,38041757,Asia
Afghanistan,2020-11-07T00:00:00Z,58,2,AFG,38041757,Asia
Afghanistan,2020-11-06T00:00:00Z,40,0,AFG,38041757,Asia
Afghanistan,2020-11-05T00:00:00Z,121,6,AFG,38041757,Asia
Afghanistan,2020-11-04T00:00:00Z,86,4,AFG,38041757,Asia
Afghanistan,2020-11-03T00:00:00Z,95,3,AFG,38041757,Asia
Afghanistan,2020-11-02T00:00:00Z,132,5,AFG,38041757,Asia
Afghanistan,2020-11-01T00:00:00Z,76,0,AFG,38041757,Asia
Afghanistan,2020-10-31T00:00:00Z,157,4,AFG,38041757,Asia
Afghanistan,2020-10-30T00:00:00Z,123,3,AFG,38041757,Asia
Afghanistan,2020-10-29T00:00:00Z,0,0,AFG,38041757,Asia
Afghanistan,2020-10-28T00:00:00Z,113,7,AFG,38041757,Asia
Afghanistan,2020-10-27T00:00:00Z,199,8,AFG,38041757,Asia
Afghanistan,2020-10-26T00:00:00Z,65,3,AFG,38041757,Asia
Afghanistan,2020-10-25T00:00:00Z,81,4,AFG,38041757,Asia
Afghanistan,2020-10-24T00:00:00Z,61,2,AFG,38041757,Asia
Afghanistan,2020-10-23T00:00:00Z,116,4,AFG,38041757,Asia
Afghanistan,2020-10-22T00:00:00Z,135,2,AFG,38041757,Asia
Afghanistan,2020-10-21T00:00:00Z,88,2,AFG,38041757,Asia
Afghanistan,2020-10-20T00:00:00Z,87,5,AFG,38041757,Asia
Afghanistan,2020-10-19T00:00:00Z,59,4,AFG,38041757,Asia
Afghanistan,2020-10-18T00:00:00Z,68,3,AFG,38041757,Asia
Afghanistan,2020-10-17T00:00:00Z,47,4,AFG,38041757,Asia
Afghanistan,2020-10-16T00:00:00Z,0,0,AFG,38041757,Asia
Afghanistan,2020-10-15T00:00:00Z,32,1,AFG,38041757,Asia
Afghanistan,2020-10-14T00:00:00Z,66,0,AFG,38041757,Asia
Afghanistan,2020-10-13T00:00:00Z,129,3,AFG,38041757,Asia
Afghanistan,2020-10-12T00:00:00Z,96,4,AFG,38041757,Asia
Afghanistan,2020-10-11T00:00:00Z,0,0,AFG,38041757,Asia
Afghanistan,2020-10-10T00:00:00Z,10,1,AFG,38041757,Asia
Afghanistan,2020-10-09T00:00:00Z,77,2,AFG,38041757,Asia
Afghanistan,2020-10-08T00:00:00Z,68,1,AFG,38041757,Asia
Afghanistan,2020-10-07T00:00:00Z,62,2,AFG,38041757,Asia
Afghanistan,2020-10-06T00:00:00Z,145,5,AFG,38041757,Asia
Afghanistan,2020-10-05T00:00:00Z,44,0,AFG,38041757,Asia
Afghanistan,2020-10-04T00:00:00Z,7,4,AFG,38041757,Asia
Afghanistan,2020-10-03T00:00:00Z,5,0,AFG,38041757,Asia
Afghanistan,2020-10-02T00:00:00Z,17,0,AFG,38041757,Asia
Afghanistan,2020-10-01T00:00:00Z,14,0,AFG,38041757,Asia
