Country,DateRep,ConfirmedCases,Deaths,Recovered,Capital,Continent
Japan,2020-01-22,2,0,0,Tokyo,Asia
China,2020-01-22,547,17,28,Beijing,Asia
South Korea,2020-01-22,1,0,0,Seoul,Asia
Taiwan,2020-01-22,1,0,0,Taipei,Asia
Thailand,2020-01-22,2,0,0,Bangkok,Asia
Australia,2020-01-23,0,0,0,Canberra,Oceania
Brazil,2020-01-23,0,0,0,Brasilia,America
Colombia,2020-01-23,0,0,0,Bogota,America
Japan,2020-01-23,1,0,0,Tokyo,Asia
China,2020-01-23,639,18,30,Beijing,Asia
Malaysia,2020-01-23,0,0,0,Kuala Lumpur,Asia
Mexico,2020-01-23,0,0,0,Mexico City,America
Philippines,2020-01-23,0,0,0,Manila,Asia
Singapore,2020-01-23,1,0,0,Singapore,Asia
South Korea,2020-01-23,1,0,0,Seoul,Asia
Taiwan,2020-01-23,1,0,0,Taipei,Asia
Thailand,2020-01-23,3,0,0,Bangkok,Asia
Vietnam,2020-01-23,2,0,0,Hanoi,Asia
France,2020-01-24,2,0,0,Paris,Europe
Japan,2020-01-24,2,0,0,Tokyo,Asia
China,2020-01-24,916,26,36,Beijing,Asia
Singapore,2020-01-24,3,0,0,Singapore,Asia
South Korea,2020-01-24,2,0,0,Seoul,Asia
Taiwan,2020-01-24,3,0,0,Taipei,Asia
Thailand,2020-01-24,5,0,0,Bangkok,Asia
Vietnam,2020-01-24,2,0,0,Hanoi,Asia
Australia,2020-01-25,4,0,0,Canberra,Oceania
France,2020-01-25,3,0,0,Paris,Europe
Japan,2020-01-25,2,0,0,Tokyo,Asia
China,2020-01-25,1399,42,39,Beijing,Asia
Malaysia,2020-01-25,3,0,0,Kuala Lumpur,Asia
Nepal,2020-01-25,1,0,0,Kathmandu,Asia
Singapore,2020-01-25,3,0,0,Singapore,Asia
South Korea,2020-01-25,2,0,0,Seoul,Asia
Taiwan,2020-01-25,3,0,0,Taipei,Asia
Thailand,2020-01-25,7,0,0,Bangkok,Asia
Vietnam,2020-01-25,2,0,0,Hanoi,Asia
Australia,2020-01-26,4,0,0,Canberra,Oceania
Canada,2020-01-26,1,0,0,Ottawa,America
France,2020-01-26,3,0,0,Paris,Europe
Japan,2020-01-26,4,0,1,Tokyo,Asia
China,2020-01-26,2062,56,49,Beijing,Asia
Malaysia,2020-01-26,4,0,0,Kuala Lumpur,Asia
Nepal,2020-01-26,1,0,0,Kathmandu,Asia
Singapore,2020-01-26,4,0,0,Singapore,Asia
South Korea,2020-01-26,3,0,0,Seoul,Asia
Taiwan,2020-01-26,4,0,0,Taipei,Asia
Thailand,2020-01-26,8,0,2,Bangkok,Asia
Vietnam,2020-01-26,2,0,0,Hanoi,Asia
Australia,2020-01-27,5,0,0,Canberra,Oceania
Cambodia,2020-01-27,1,0,0,Phnom Penh,Asia
Canada,2020-01-27,1,0,0,Ottawa,America
France,2020-01-27,3,0,0,Paris,Europe
Ivory Coast,2020-01-27,1,0,0,Yamoussoukro,Africa
Japan,2020-01-27,4,0,1,Tokyo,Asia
