Country,DateRep,ConfirmedCases,Deaths,Recovered,Continent
Hong Kong,2020-01-22,0,0,0,Asia
Japan,2020-01-22,2,0,0,Asia
Macau,2020-01-22,1,0,0,Asia
China,2020-01-22,547,17,28,Asia
South Korea,2020-01-22,1,0,0,Asia
Taiwan,2020-01-22,1,0,0,Asia
Thailand,2020-01-22,2,0,0,Asia
US,2020-01-22,1,0,0,Americas
Australia,2020-01-23,0,0,0,Oceania
Brazil,2020-01-23,0,0,0,Americas
Colombia,2020-01-23,0,0,0,Americas
Hong Kong,2020-01-23,2,0,0,Asia
Japan,2020-01-23,1,0,0,Asia
Macau,2020-01-23,2,0,0,Asia
China,2020-01-23,639,18,30,Asia
Malaysia,2020-01-23,0,0,0,Asia
Mexico,2020-01-23,0,0,0,Americas
Philippines,2020-01-23,0,0,0,Asia
Singapore,2020-01-23,1,0,0,Asia
South Korea,2020-01-23,1,0,0,Asia
Taiwan,2020-01-23,1,0,0,Asia
Thailand,2020-01-23,3,0,0,Asia
US,2020-01-23,1,0,0,Americas
Vietnam,2020-01-23,2,0,0,Asia
France,2020-01-24,2,0,0,Europe
Hong Kong,2020-01-24,2,0,0,Asia
Japan,2020-01-24,2,0,0,Asia
Macau,2020-01-24,2,0,0,Asia
China,2020-01-24,916,26,36,Asia
Singapore,2020-01-24,3,0,0,Asia
South Korea,2020-01-24,2,0,0,Asia
Taiwan,2020-01-24,3,0,0,Asia
Thailand,2020-01-24,5,0,0,Asia
US,2020-01-24,2,0,0,Americas
Vietnam,2020-01-24,2,0,0,Asia
Australia,2020-01-25,4,0,0,Oceania
France,2020-01-25,3,0,0,Europe
Hong Kong,2020-01-25,5,0,0,Asia
Japan,2020-01-25,2,0,0,Asia
Macau,2020-01-25,2,0,0,Asia
China,2020-01-25,1399,42,39,Asia
Malaysia,2020-01-25,3,0,0,Asia
Nepal,2020-01-25,1,0,0,Asia
Singapore,2020-01-25,3,0,0,Asia
South Korea,2020-01-25,2,0,0,Asia
Taiwan,2020-01-25,3,0,0,Asia
Thailand,2020-01-25,7,0,0,Asia
US,2020-01-25,2,0,0,Americas
Vietnam,2020-01-25,2,0,0,Asia
Australia,2020-01-26,4,0,0,Oceania
Canada,2020-01-26,1,0,0,Americas
France,2020-01-26,3,0,0,Europe
Hong Kong,2020-01-26,8,0,0,Asia
Japan,2020-01-26,4,0,1,Asia
Macau,2020-01-26,5,0,0,Asia
China,2020-01-26,2062,56,49,Asia
Malaysia,2020-01-26,4,0,0,Asia
Nepal,2020-01-26,1,0,0,Asia
Singapore,2020-01-26,4,0,0,Asia
South Korea,2020-01-26,3,0,0,Asia
Taiwan,2020-01-26,4,0,0,Asia
Thailand,2020-01-26,8,0,2,Asia
US,2020-01-26,5,0,0,Americas
Vietnam,2020-01-26,2,0,0,Asia
Australia,2020-01-27,5,0,0,Oceania
Cambodia,2020-01-27,1,0,0,Asia
Canada,2020-01-27,1,0,0,Americas
France,2020-01-27,3,0,0,Europe
Hong Kong,2020-01-27,8,0,0,Asia
Ivory Coast,2020-01-27,1,0,0,Africa
Japan,2020-01-27,4,0,1,Asia
Macau,2020-01-27,6,0,0,Asia
China,2020-01-27,2863,82,58,Asia
Malaysia,2020-01-27,4,0,0,Asia
Nepal,2020-01-27,1,0,0,Asia
Singapore,2020-01-27,5,0,0,Asia
South Korea,2020-01-27,4,0,0,Asia
Sri Lanka,2020-01-27,1,0,0,Asia
Taiwan,2020-01-27,5,0,0,Asia
Thailand,2020-01-27,8,0,2,Asia
US,2020-01-27,5,0,0,Americas
Vietnam,2020-01-27,2,0,0,Asia
Australia,2020-01-28,5,0,0,Oceania
Cambodia,2020-01-28,1,0,0,Asia
Canada,2020-01-28,2,0,0,Americas
France,2020-01-28,4,0,0,Europe
