Country,Code,Year,PopMale,PopFemale,PopTotal,PopDensity,Continent
Afghanistan,AFG,2019,19529.727,18512.03,38041.757,58.269,Asia
Afghanistan,AFG,2020,19976.265,18952.076,38928.341,59.627,Asia
Africa,NA,2019,653513.68,654550.496,1308064.176,44.119,Africa
Africa,NA,2020,669878.34,670719.773,1340598.113,45.216,Africa
Albania,ALB,2019,1466.785,1414.128,2880.913,105.143,Europe
Albania,ALB,2020,1464.714,1413.086,2877.8,105.029,Europe
Algeria,DZA,2019,21749.666,21303.388,43053.054,18.076,Africa
Algeria,DZA,2020,22153.808,21697.235,43851.043,18.411,Africa
American Samoa,ASM,2019,NA,NA,55.312,276.56,Oceania
American Samoa,ASM,2020,NA,NA,55.197,275.985,Oceania
Andorra,AND,2019,NA,NA,77.146,164.14,Europe
Andorra,AND,2020,NA,NA,77.265,164.394,Europe
Angola,AGO,2019,15744.779,16080.52,31825.299,25.528,Africa
Angola,AGO,2020,16260.87,16605.398,32866.268,26.363,Africa
Anguilla,AIA,2019,NA,NA,14.872,165.244,Americas
Anguilla,AIA,2020,NA,NA,15.002,166.689,Americas
Antigua & Barbuda,ATG,2019,46.851,50.264,97.115,220.716,Americas
Antigua & Barbuda,ATG,2020,47.269,50.659,97.928,222.564,Americas
Argentina,ARG,2019,21841.415,22939.26,44780.675,16.363,Americas
Argentina,ARG,2020,22049.146,23146.631,45195.777,16.515,Americas
Armenia,ARM,2019,1391.269,1566.459,2957.728,103.889,Asia
Armenia,ARM,2020,1393.747,1569.487,2963.234,104.083,Asia
Aruba,ABW,2019,50.443,55.867,106.31,590.611,Americas
Aruba,ABW,2020,50.642,56.124,106.766,593.144,Americas
Asia,NA,2019,2353466.245,2247905.021,4601371.266,148.273,Asia
Asia,NA,2020,2373462.035,2267592.751,4641054.786,149.552,Asia
Australia,AUS,2019,12551.311,12651.889,25203.2,3.281,Oceania
Australia,AUS,2020,12698.625,12801.256,25499.881,3.319,Oceania
Austria,AUT,2019,4409.38,4545.728,8955.108,108.667,Europe
Austria,AUT,2020,4439.691,4566.709,9006.4,109.289,Europe
Azerbaijan,AZE,2019,5015.834,5031.885,10047.719,121.558,Asia
Azerbaijan,AZE,2020,5064.664,5074.511,10139.175,122.664,Asia
Bahamas,BHS,2019,189.23,200.256,389.486,38.91,Americas
Bahamas,BHS,2020,191.093,202.155,393.248,39.286,Americas
Bahrain,BHR,2019,1054.797,586.367,1641.164,2159.426,Asia
Bahrain,BHR,2020,1100.474,601.109,1701.583,2238.925,Asia
Bangladesh,BGD,2019,82473.791,80572.382,163046.173,1252.563,Asia
Bangladesh,BGD,2020,83259.108,81430.275,164689.383,1265.187,Asia
Barbados,BRB,2019,138.813,148.208,287.021,667.491,Americas
Barbados,BRB,2020,139.084,148.287,287.371,668.305,Americas
Belarus,BLR,2019,4399.913,5052.496,9452.409,46.584,Europe
Belarus,BLR,2020,4399.367,5049.954,9449.321,46.569,Europe
Belgium,BEL,2019,5711.479,5827.847,11539.326,381.087,Europe
Belgium,BEL,2020,5744.335,5845.281,11589.616,382.748,Europe
Belize,BLZ,2019,194.281,196.07,390.351,17.113,Americas
Belize,BLZ,2020,197.761,199.86,397.621,17.432,Americas
Benin,BEN,2019,5891.256,5909.895,11801.151,104.657,Africa
Benin,BEN,2020,6054.248,6068.95,12123.198,107.513,Africa
Bermuda,BMU,2019,NA,NA,62.508,1250.16,Americas
Bermuda,BMU,2020,NA,NA,62.273,1245.46,Americas
Bhutan,BTN,2019,405.032,358.062,763.094,20.02,Asia
Bhutan,BTN,2020,410.087,361.525,771.612,20.243,Asia
Bolivia,BOL,2019,5779.611,5733.491,11513.102,10.628,Americas
Bolivia,BOL,2020,5858.019,5815.01,11673.029,10.775,Americas
Caribbean Netherlands,BES,2019,NA,NA,25.983,79.216,Americas
Caribbean Netherlands,BES,2020,NA,NA,26.221,79.942,Americas
Bosnia & Herzegovina,BIH,2019,1616.799,1684.199,3300.998,64.725,Europe
Bosnia & Herzegovina,BIH,2020,1606.609,1674.206,3280.815,64.33,Europe
Botswana,BWA,2019,1114.116,1189.587,2303.703,4.065,Africa
Botswana,BWA,2020,1139.099,1212.526,2351.625,4.149,Africa
Brazil,BRA,2019,103733.16,107316.359,211049.519,25.251,Americas
Brazil,BRA,2020,104435.783,108123.626,212559.409,25.431,Americas
British Virgin Islands,VGB,2019,NA,NA,30.033,200.22,Americas
British Virgin Islands,VGB,2020,NA,NA,30.237,201.58,Americas
Brunei,BRN,2019,224.982,208.314,433.296,82.219,Asia
Brunei,BRN,2020,226.987,210.496,437.483,83.014,Asia
Bulgaria,BGR,2019,3400.054,3600.063,7000.117,64.482,Europe
Bulgaria,BGR,2020,3374.121,3574.324,6948.445,64.006,Europe
Burkina Faso,BFA,2019,10147.774,10173.609,20321.383,74.274,Africa
Burkina Faso,BFA,2020,10444.713,10458.565,20903.278,76.401,Africa
Burundi,BDI,2019,5718.988,5811.589,11530.577,449.01,Africa
Burundi,BDI,2020,5899.864,5990.917,11890.781,463.037,Africa
Cape Verde,CPV,2019,276.036,273.9,549.936,136.461,Africa
Cape Verde,CPV,2020,279.117,276.871,555.988,137.962,Africa
Cambodia,KHM,2019,8047.364,8439.178,16486.542,93.398,Asia
Cambodia,KHM,2020,8162.424,8556.547,16718.971,94.714,Asia
Cameroon,CMR,2019,12939.928,12936.459,25876.387,54.741,Africa
Cameroon,CMR,2020,13277.075,13268.789,26545.864,56.157,Africa
Canada,CAN,2019,18563.538,18847.5,37411.038,4.114,Americas
Canada,CAN,2020,18732.178,19009.979,37742.157,4.15,Americas
Cayman Islands,CYM,2019,NA,NA,64.948,270.617,Americas
Cayman Islands,CYM,2020,NA,NA,65.72,273.833,Americas
Central African Republic,CAF,2019,2351.973,2393.206,4745.179,7.617,Africa
Central African Republic,CAF,2020,2394.042,2435.722,4829.764,7.753,Africa
Central America,NA,2019,87024.928,90561.597,177586.525,72.417,Central America
